n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD036861  	O8III       	37689	 963	 3.90	 0.06	 0.03	 0.04	0 	HD036861  	083.78449	+09.93416
 	HD037043  	O9III       	35006	 969	 3.67	 0.07	 0.05	 0.06	0 	HD037043  	083.85826	-05.90990
O	HD037088  	G0          	 5790	  35	 4.26	 0.07	 0.13	 0.05	0 	HD037088  	084.11430	+14.65414
 	HD037160  	K0IIIb      	 4815	  23	 2.77	 0.08	-0.57	 0.05	0 	HD037160  	084.22662	+09.29067
 	HD037216  	G5          	 5468	  29	 4.63	 0.05	 0.03	 0.05	0 	HD037216  	084.96811	+52.89749
 	HD037269  	B9.5V+...   	 6239	  71	 3.97	 0.12	 0.02	 0.09	0 	HD037269  	084.65869	+30.49241
O	HD037394  	K1V         	 5328	  27	 4.67	 0.05	 0.21	 0.05	0 	HD037394  	085.33473	+53.48106
 	HD037828  	K0          	 4442	  29	 1.14	 0.11	-1.49	 0.08	0 	HD037828  	085.22769	-11.20005
 	HD037984  	K1III       	 4480	  22	 2.24	 0.09	-0.45	 0.05	0 	HD037984  	085.61930	+01.47463
 	HD037986  	G8/K0IV     	 5502	  38	 4.28	 0.08	 0.33	 0.06	0 	HD037986  	085.47369	-15.63054
 	HD038656  	G8III       	 4953	  25	 2.60	 0.07	-0.19	 0.06	0 	HD038656  	087.29349	+39.18107
 	HD038674  	K2          	 4069	  18	 1.85	 0.15	-0.47	 0.08	0 	HD038674  	086.91603	+04.85259
 	HD038899  	B9IV        	10385	 138	 3.89	 0.05	-0.16	 0.07	0 	HD038899  	087.38721	+12.65132
 	HD039003  	G9.5III     	 4678	  20	 2.36	 0.06	-0.02	 0.04	0 	HD039003  	087.87250	+39.14848
O	HD039118  	G8III+...   	 4927	  49	 2.01	 0.13	-0.12	 0.12	0 	HD039118  	087.62511	+02.02470
 	HD039225  	M1.5II-III  	 3653	   9	 1.35	 0.17	-0.29	 0.07	0 	HD039225  	088.16705	+33.91746
 	HD039283  	A2V         	 8856	  68	 4.13	 0.04	-0.36	 0.06	0 	HD039283  	088.71159	+55.70695
 	HD039587  	G0V         	 5942	  26	 4.43	 0.05	-0.04	 0.04	0 	HD039587  	088.59576	+20.27617
 	HD039801  	M1          	 3626	  10	 0.13	 0.10	 0.09	 0.05	0 	HD039801  	088.79294	+07.40706
 	HD039833  	G0III       	 5855	  35	 4.41	 0.07	 0.15	 0.05	0 	HD039833  	088.75816	-00.50797
 	HD039853  	K5III       	 3872	  10	 1.61	 0.12	-0.46	 0.06	0 	HD039853  	088.68179	-11.77419
 	HD039866  	A2II        	 9427	 129	 2.15	 0.04	-0.34	 0.10	0 	HD039866  	089.14070	+28.94227
 	HD040035  	K0III       	 4859	  22	 2.59	 0.06	-0.07	 0.05	0 	HD040035  	089.88182	+54.28466
 	HD040111  	B0.5II      	25771	1684	 3.27	 0.08	-0.06	 0.07	0 	HD040111  	089.49857	+25.95391
 	HD040136  	F1V         	 6997	  27	 4.08	 0.03	-0.05	 0.03	0 	HD040136  	089.10122	-14.16770
 	HD040183  	A2IV+...    	 8774	 131	 3.55	 0.18	-0.11	 0.13	0 	HD040183  	089.88218	+44.94743
 	HD040239  	M3II        	 3388	   6	 0.55	 0.10	 0.03	 0.04	0 	HD040239  	089.98375	+45.93674
O	HD040460  	K1III       	 4804	  28	 2.53	 0.09	-0.25	 0.07	0 	HD040460  	090.02516	+27.27219
 	HD040536  	A6m         	 7836	 120	 3.69	 0.15	 0.38	 0.12	0 	HD040536  	089.76797	-09.55825
 	HD040801  	K0II        	 4812	  21	 2.95	 0.07	-0.25	 0.05	0 	HD040801  	090.82482	+42.91156
 	HD041117  	B2Iaevar    	23210	2321	 2.85	 0.12	-0.38	 0.15	0 	HD041117  	090.97994	+20.13845
 	HD041330  	G0V         	 5873	  27	 4.18	 0.05	-0.20	 0.04	0 	HD041330  	091.53556	+35.38774
 	HD041597  	G8III       	 4644	  22	 2.08	 0.08	-0.51	 0.06	0 	HD041597  	092.49589	+58.93569
 	HD041636  	G9III       	 4714	  23	 2.55	 0.08	-0.28	 0.05	0 	HD041636  	092.09640	+41.05573
 	HD041640  	F5          	 6093	  30	 4.28	 0.05	-0.58	 0.05	0 	HD041640  	091.78844	+16.55608
 	HD041692  	B5IV        	16566	 286	 3.64	 0.06	 0.08	 0.05	0 	HD041692  	091.66140	-04.19384
 	HD042475  	M1Iab:      	 3874	  18	 0.12	 0.10	 0.18	 0.06	0 	HD042475  	092.96422	+21.86823
 	HD042543  	M1Ia-ab     	 3666	  12	 0.20	 0.12	 0.14	 0.06	0 	HD042543  	093.07958	+22.90851
 	HD043039  	G8.5IIIb    	 4783	  26	 2.44	 0.08	-0.31	 0.06	0 	HD043039  	093.84454	+29.49808
 	HD043042  	F6V         	 6459	  29	 4.16	 0.04	 0.01	 0.04	0 	HD043042  	093.71199	+19.15645
 	HD043232  	K1.5III     	 4375	  20	 1.61	 0.08	-0.15	 0.05	0 	HD043232  	093.71389	-06.27478
 	HD043247  	B9II-III    	12600	 324	 2.95	 0.11	-0.02	 0.16	0 	HD043247  	093.93735	+12.55107
 	HD043318  	F6V         	 6252	  30	 3.99	 0.05	-0.13	 0.04	0 	HD043318  	093.89277	-00.51219
 	HD043380  	K2III       	 4557	  22	 2.57	 0.08	-0.01	 0.05	0 	HD043380  	094.57027	+46.36044
 	HD043384  	B3Ib        	19771	 779	 2.87	 0.07	-0.14	 0.07	0 	HD043384  	094.24461	+23.74091
 	HD043827  	K1III       	 4400	  20	 2.03	 0.08	-0.09	 0.05	0 	HD043827  	094.42385	-16.81591
 	HD043947  	F8V         	 5982	  27	 4.29	 0.05	-0.30	 0.04	0 	HD043947  	094.91739	+16.01325
 	HD044007  	G5IV:w...   	 4971	  33	 2.28	 0.11	-1.57	 0.08	0 	HD044007  	094.70220	-14.84540
 	HD044033  	K3Iab:      	 3796	   7	 1.57	 0.10	 0.01	 0.04	0 	HD044033  	095.01760	+14.65113
 	HD044478  	M3III       	 3460	   5	 0.82	 0.09	-0.03	 0.03	0 	HD044478  	095.74011	+22.51359
 	HD044537  	M0Iab:      	 3984	  21	 0.31	 0.10	 0.20	 0.06	0 	HD044537  	096.22459	+49.28789
 	HD044769  	A5IV        	 7717	  47	 3.84	 0.05	-0.11	 0.06	0 	HD044769  	095.94202	+04.59286
 	HD044951  	K3III       	 4384	  19	 2.14	 0.09	-0.30	 0.05	0 	HD044951  	096.04300	-11.53009
 	HD045282  	G0          	 5232	  30	 3.03	 0.09	-1.50	 0.06	0 	HD045282  	096.66989	+03.42494
 	HD045410  	K0III-IV    	 4964	  25	 3.17	 0.07	-0.18	 0.05	0 	HD045410  	097.69628	+58.16263
 	HD045412  	F8Ibvar     	 5987	  30	 1.88	 0.07	 0.13	 0.06	0 	HD045412  	097.14204	+30.49303
O	HD045674  	F0          	 7630	  75	 2.05	 0.08	 0.16	 0.07	0 	HD045674  	097.19610	-00.57241
 	HD046184  	K1III       	 4375	  21	 2.25	 0.09	 0.06	 0.05	0 	HD046184  	097.84602	-12.39195
 	HD046317  	F5          	 6307	  33	 4.21	 0.05	-0.24	 0.05	0 	HD046317  	099.06306	+58.10678
 	HD046480  	G8IV-V      	 4917	  27	 3.13	 0.08	-0.53	 0.06	0 	HD046480  	099.42244	+61.48123
 	HD046588  	F8V         	 6162	  38	 4.25	 0.06	-0.13	 0.05	0 	HD046588  	101.55896	+79.56481
 	HD046687  	CII...      	 3843	 105	 1.39	 1.18	-0.15	 0.46	0 	HD046687  	099.13682	+38.44550
 	HD046703  	F7IVw       	 6654	  60	 4.09	 0.06	-0.85	 0.11	0 	HD046703  	099.46844	+53.51721
 	HD047105  	A0IV        	 9231	 124	 3.21	 0.08	-0.28	 0.09	0 	HD047105  	099.42792	+16.39925
 	HD047205  	K1III+...   	 4766	  22	 3.20	 0.06	 0.18	 0.04	0 	HD047205  	099.17099	-19.25588
 	HD047731  	G5Ib        	 5151	  26	 1.32	 0.04	-0.06	 0.06	0 	HD047731  	100.33707	+28.19664
 	HD047839  	O7Ve        	40175	 914	 3.93	 0.05	 0.04	 0.04	0 	HD047839  	100.24442	+09.89575
O	HD048329  	G8Ib        	 4662	  36	 0.88	 0.05	 0.15	 0.07	0 	HD048329  	100.98302	+25.13112
 	HD048432  	K0III       	 4901	  23	 2.84	 0.07	-0.16	 0.05	0 	HD048432  	101.70629	+57.16918
 	HD048433  	K1III       	 4531	  20	 2.13	 0.07	-0.17	 0.05	0 	HD048433  	100.99705	+13.22802
 	HD048682  	G0V         	 6051	  30	 4.22	 0.05	 0.07	 0.04	0 	HD048682  	101.68474	+43.57743
 	HD048737  	F5IV        	 6544	  29	 3.91	 0.04	 0.15	 0.03	0 	HD048737  	101.32235	+12.89559
 	HD048781  	K1III       	 4691	  21	 2.31	 0.07	-0.07	 0.05	0 	HD048781  	101.91490	+48.78948
 	HD049178  	G0          	 5727	  32	 4.40	 0.06	 0.07	 0.05	0 	HD049178  	102.22436	+37.50515
 	HD049368  	S...        	 3562	  14	 0.57	 0.19	-0.05	 0.08	0 	HD049368  	102.09290	+05.54168
 	HD049520  	K3III       	 4406	  23	 2.21	 0.10	 0.01	 0.06	0 	HD049520  	102.69143	+41.78123
 	HD049732  	F8          	 6361	  38	 4.21	 0.05	-0.62	 0.06	0 	HD049732  	102.96208	+41.57631
 	HD050420  	A9III       	 7275	  36	 3.70	 0.04	 0.12	 0.04	0 	HD050420  	103.81107	+43.91003
 	HD050692  	G0V         	 5887	  29	 4.29	 0.05	-0.20	 0.05	0 	HD050692  	103.82778	+25.37570
 	HD051309  	B3Ib/II     	19990	 714	 3.09	 0.08	-0.04	 0.05	0 	HD051309  	104.03427	-17.05424
 	HD051440  	K2III       	 4325	  21	 1.85	 0.11	-0.56	 0.07	0 	HD051440  	104.76186	+38.05232
 	HD051530  	F7V         	 6094	  35	 3.96	 0.06	-0.38	 0.05	0 	HD051530  	104.69754	+26.08108
 	HD052711  	G4V         	 5898	  31	 4.34	 0.06	-0.13	 0.05	0 	HD052711  	105.87691	+29.33708
O	HD054322  	G5          	 5841	  33	 4.44	 0.06	 0.13	 0.05	0 	HD054322  	107.30624	+19.04263
 	HD054662  	O7III       	42421	1052	 4.04	 0.05	 0.00	 0.05	0 	HD054662  	107.33438	-10.34657
 	HD054717  	F5          	 6442	  34	 4.25	 0.04	-0.42	 0.05	0 	HD054717  	107.83118	+33.11186
 	HD054719  	K2III       	 4441	  19	 2.17	 0.08	 0.16	 0.04	0 	HD054719  	107.78488	+30.24516
 	HD054810  	K0III       	 4758	  30	 2.63	 0.10	-0.31	 0.07	0 	HD054810  	107.55701	-04.23711
 	HD055280  	K2III       	 4692	  23	 2.82	 0.07	 0.05	 0.05	0 	HD055280  	108.97876	+59.63747
 	HD055575  	G0V         	 5868	  26	 4.25	 0.05	-0.37	 0.04	0 	HD055575  	108.95891	+47.23996
 	HD056986  	F0IV        	 7024	  33	 4.04	 0.04	-0.17	 0.05	0 	HD056986  	110.03074	+21.98232
 	HD057264  	G8III       	 4627	  20	 2.46	 0.07	-0.38	 0.05	0 	HD057264  	110.51090	+36.76058
 	HD057651  	K5          	 3418	   6	 0.85	 0.12	-0.07	 0.05	0 	HD057651  	110.60161	+05.60902
O	HD057669  	K0IIIa      	 4658	  25	 1.88	 0.07	 0.13	 0.05	0 	HD057669  	111.03528	+40.67239
 	HD057727  	G8III       	 5067	  24	 3.00	 0.06	-0.09	 0.05	0 	HD057727  	110.86880	+25.05053
 	HD058207  	G9IIIb      	 4831	  22	 2.58	 0.06	-0.11	 0.05	0 	HD058207  	111.43165	+27.79808
O	HD058343  	B2Vne       	18173	 590	 3.66	 0.09	 0.01	 0.06	0 	HD058343  	111.16745	-16.20147
 	HD058526  	G3Ib        	 5515	  29	 1.19	 0.05	 0.00	 0.06	0 	HD058526  	111.46333	-05.77496
 	HD058551  	F6V         	 6220	  28	 4.23	 0.04	-0.50	 0.04	0 	HD058551  	111.70939	+21.53564
 	HD058855  	F6V         	 6310	  36	 4.18	 0.05	-0.29	 0.05	0 	HD058855  	112.48315	+49.67246
 	HD058946  	F0V         	 6991	  29	 4.11	 0.03	-0.25	 0.04	0 	HD058946  	112.27800	+31.78455
 	HD059380  	F8V         	 6326	  36	 4.22	 0.05	-0.15	 0.05	0 	HD059380  	112.35683	-07.55117
 	HD059881  	F0III       	 7538	  42	 3.57	 0.05	 0.16	 0.04	0 	HD059881  	113.02479	+01.91448
 	HD059984  	F5V         	 5934	  44	 4.01	 0.08	-0.72	 0.08	0 	HD059984  	113.02401	-08.88133
O	HD060179  	A1V         	 9340	 146	 3.79	 0.08	-0.06	 0.07	0 	HD060179  	113.64952	+31.88839
 	HD061064  	F6III       	 6625	  40	 3.64	 0.06	 0.26	 0.04	0 	HD061064  	114.31955	-04.11098
O	HD061295  	F6II        	 7079	  45	 3.66	 0.06	 0.32	 0.05	0 	HD061295  	114.97536	+32.00973
 	HD061935  	G9III       	 4841	  29	 2.61	 0.08	-0.04	 0.06	0 	HD061935  	115.31180	-09.55113
 	HD062301  	F8V         	 5940	  29	 4.16	 0.05	-0.65	 0.05	0 	HD062301  	116.23413	+39.55637
 	HD062509  	K0IIIb      	 4893	  23	 2.89	 0.06	 0.05	 0.05	0 	HD062509  	116.32896	+28.02620
 	HD063302  	K3Iab/Ib    	 4304	  34	 0.24	 0.08	 0.12	 0.07	0 	HD063302  	116.91053	-15.99069
 	HD063333  	F5          	 6157	  30	 4.22	 0.05	-0.36	 0.05	0 	HD063333  	117.32855	+24.48873
 	HD063352  	K0          	 4179	  17	 1.92	 0.10	-0.47	 0.06	0 	HD063352  	117.25765	+13.37187
 	HD063410  	G8III       	 4896	  25	 2.53	 0.07	-0.37	 0.06	0 	HD063410  	117.44877	+26.26382
 	HD063791  	G0          	 4838	  32	 1.90	 0.11	-1.59	 0.08	0 	HD063791  	118.61968	+62.13632
 	HD064238  	F2IV/V      	 7166	  44	 3.16	 0.07	 0.31	 0.05	0 	HD064238  	118.07866	-14.84617
 	HD064937  	K5          	 3495	   8	 0.82	 0.14	-0.05	 0.06	0 	HD064937  	119.13215	+06.40642
 	HD065583  	G8V         	 5315	  31	 4.51	 0.06	-0.67	 0.07	0 	HD065583  	120.13387	+29.21236
 	HD065714  	G8III:      	 4966	  27	 2.51	 0.07	 0.12	 0.06	0 	HD065714  	120.23281	+25.39284
 	HD065900  	A1V         	 9228	 142	 3.34	 0.11	-0.17	 0.11	0 	HD065900  	120.30788	+04.87982
 	HD067228  	G1IV        	 5810	  26	 3.92	 0.05	 0.14	 0.04	0 	HD067228  	121.94107	+21.58182
 	HD068988  	G0          	 5820	  41	 4.17	 0.08	 0.28	 0.06	0 	HD068988  	124.59239	+61.46072
 	HD069582  	G5          	 5692	  35	 4.52	 0.06	 0.13	 0.06	0 	HD069582  	124.37338	-03.10751
 	HD069830  	K0V         	 5444	  33	 4.52	 0.06	 0.02	 0.06	0 	HD069830  	124.59978	-12.63217
 	HD069897  	F6V         	 6261	  28	 4.19	 0.04	-0.28	 0.04	0 	HD069897  	125.01608	+27.21771
 	HD070110  	F9V         	 5909	  27	 3.95	 0.05	 0.09	 0.04	0 	HD070110  	125.05416	-00.90931
 	HD071369  	G5III       	 5215	  31	 2.52	 0.08	-0.13	 0.07	0 	HD071369  	127.56612	+60.71817
 	HD071479  	G0          	 5886	  38	 4.15	 0.07	 0.19	 0.06	0 	HD071479  	126.89636	-05.14863
 	HD071597  	K2III       	 4449	  19	 2.54	 0.08	-0.23	 0.05	0 	HD071597  	127.06065	+00.24394
 	HD071952  	K0IV        	 4734	  23	 3.13	 0.07	-0.15	 0.05	0 	HD071952  	128.13937	+53.11485
 	HD072184  	K2III       	 4678	  43	 3.02	 0.13	 0.19	 0.09	0 	HD072184  	128.22908	+38.01637
 	HD072324  	G9III       	 4885	  23	 2.48	 0.06	-0.02	 0.05	0 	HD072324  	128.25043	+24.08479
 	HD072660  	A1V         	 9226	 137	 3.30	 0.10	-0.14	 0.10	0 	HD072660  	128.50674	-02.15155
O	HD072946  	G5V         	 5624	  22	 4.19	 0.05	-0.03	 0.05	1 	HD072946  	128.96363	+06.62278
O	HD072968  	A1spe...    	10651	 281	 3.63	 0.24	 0.77	 0.14	0 	HD072968  	128.86749	-07.98229
 	HD073394  	G5IIIw      	 4511	  29	 1.19	 0.11	-1.61	 0.08	0 	HD073394  	130.09393	+51.75182
 	HD074280  	B3V         	17816	 202	 3.73	 0.06	 0.01	 0.04	0 	HD074280  	130.80615	+03.39866
 	HD074395  	G2Iab:      	 5481	  27	 1.44	 0.05	 0.04	 0.06	0 	HD074395  	130.91822	-07.23373
 	HD074462  	G5IV        	 4742	  43	 1.72	 0.15	-1.43	 0.11	0 	HD074462  	132.08605	+67.44997
O	HD074721  	A0V         	 8789	    	 3.34	     	-1.42	     	2m	HD074721  	131.49692	+13.26351
 	HD075332  	F7Vn        	 6219	  34	 4.31	 0.05	 0.07	 0.04	0 	HD075332  	132.63426	+33.28505
 	HD075333  	B9mnp...    	11722	 149	 4.08	 0.05	 0.22	 0.07	0 	HD075333  	132.34053	-03.44302
 	HD075732  	G8V         	 5290	  27	 4.43	 0.05	 0.43	 0.04	0 	HD075732  	133.14921	+28.33082
 	HD075782  	G0          	 5912	  37	 3.87	 0.07	 0.19	 0.05	0 	HD075782  	133.29799	+37.07028
 	HD076151  	G2V         	 5793	  26	 4.47	 0.05	 0.13	 0.04	0 	HD076151  	133.57478	-05.43446
 	HD076219  	G8Iab:      	 5018	  29	 2.25	 0.07	-0.09	 0.07	0 	HD076219  	133.91533	+27.92748
 	HD076291  	K1IV        	 4583	  19	 2.77	 0.07	-0.10	 0.04	0 	HD076291  	134.20814	+45.63165
 	HD076294  	G9II-III    	 4917	  24	 2.46	 0.07	-0.11	 0.06	0 	HD076294  	133.84844	+05.94556
 	HD076351  	K5III       	 4186	  19	 1.63	 0.10	 0.09	 0.05	0 	HD076351  	133.98145	+11.62602
 	HD076376  	K2/K3III    	 4239	  17	 2.11	 0.09	-0.05	 0.05	0 	HD076376  	133.80179	-18.24119
 	HD076508  	K1III       	 4912	  27	 2.73	 0.07	 0.10	 0.06	0 	HD076508  	134.28450	+17.14375
 	HD076579  	K3III       	 4017	  13	 1.74	 0.11	-0.17	 0.05	0 	HD076579  	134.14219	-16.70875
 	HD076644  	A7V         	 7703	  48	 3.96	 0.05	-0.03	 0.06	0 	HD076644  	134.80189	+48.04183
 	HD076780  	G5          	 5765	  38	 4.38	 0.07	 0.18	 0.06	0 	HD076780  	134.73221	+21.16628
 	HD076813  	G9III       	 5074	  25	 2.71	 0.06	-0.09	 0.05	0 	HD076813  	134.88606	+32.41856
 	HD076932  	F7/F8IV/V   	 5843	  28	 4.08	 0.05	-0.90	 0.06	0 	HD076932  	134.68305	-16.13273
 	HD076943  	F5V         	 6511	  30	 4.19	 0.04	 0.14	 0.03	0 	HD076943  	135.15988	+41.78291
 	HD076944  	K5          	 3864	  21	 1.32	 0.23	-0.16	 0.09	0 	HD076944  	135.12833	+37.60435
 	HD077350  	A0III       	10037	 167	 3.35	 0.11	-0.20	 0.13	0 	HD077350  	135.68444	+24.45292
 	HD077601  	F6II-III    	 6578	  52	 3.14	 0.10	 0.42	 0.06	0 	HD077601  	136.35040	+48.53031
 	HD077818  	K1IV        	 4726	  23	 3.13	 0.07	-0.23	 0.05	0 	HD077818  	136.85891	+58.87505
 	HD077912  	G8Iab:      	 5015	  27	 1.75	 0.06	-0.05	 0.06	0 	HD077912  	136.63236	+38.45222
 	HD078209  	A1m         	 7508	  47	 3.77	 0.06	 0.54	 0.04	0 	HD078209  	137.21773	+51.60465
 	HD078249  	K1IV        	 4868	  25	 3.45	 0.06	 0.05	 0.05	0 	HD078249  	137.45593	+59.15388
 	HD078316  	B8IIImnp    	12460	 259	 4.21	 0.09	 0.51	 0.12	0 	HD078316  	136.93672	+10.66819
 	HD078362  	Am          	 7289	  50	 3.76	 0.07	 0.71	 0.04	0 	HD078362  	137.72942	+63.51363
 	HD078418  	G5IV-V      	 5741	  40	 4.22	 0.08	 0.08	 0.06	0 	HD078418  	137.19721	+26.62911
 	HD078479  	K3III       	 4486	  20	 2.60	 0.08	 0.22	 0.04	0 	HD078479  	137.25963	+17.46965
 	HD078558  	G3V         	 5700	  31	 4.20	 0.06	-0.45	 0.06	0 	HD078558  	137.10516	-15.14479
 	HD078712  	M6IIIase    	 3101	  17	 0.23	 0.36	-1.00	 0.00	0 	HD078712  	137.66166	+30.96314
 	HD079028  	F9V         	 5972	  76	 3.93	 0.15	 0.05	 0.11	0 	HD079028  	138.58559	+61.42332
 	HD079158  	B8IIImnp    	12305	 151	 4.11	 0.07	 0.73	 0.07	0 	HD079158  	138.45086	+43.21782
 	HD079452  	G6III       	 5029	  28	 2.43	 0.08	-0.77	 0.07	0 	HD079452  	138.80936	+34.63352
O	HD079469  	B9.5V       	10099	 145	 3.80	 0.08	-0.42	 0.09	0 	HD079469  	138.59108	+02.31428
 	HD080218  	F5          	 6180	  33	 4.16	 0.05	-0.26	 0.05	0 	HD080218  	139.74511	+17.70535
 	HD080493  	K7III       	 3899	   9	 1.63	 0.11	-0.11	 0.04	0 	HD080493  	140.26376	+34.39256
 	HD080499  	G8III       	 5065	  26	 2.48	 0.07	-0.13	 0.06	0 	HD080499  	139.94326	-11.97485
 	HD080586  	G8III-IV+...	 5084	  26	 2.87	 0.07	 0.01	 0.06	0 	HD080586  	140.12091	-09.55569
 	HD081146  	K2III       	 4394	  18	 2.44	 0.08	-0.05	 0.04	0 	HD081146  	141.16358	+26.18232
 	HD081192  	G7III       	 4822	  24	 2.69	 0.08	-0.70	 0.06	0 	HD081192  	141.18890	+19.78663
 	HD081797  	K3II-III    	 4176	  15	 1.67	 0.09	 0.06	 0.04	0 	HD081797  	141.89685	-08.65860
 	HD081937  	F0IV        	 7097	  37	 3.87	 0.05	 0.17	 0.05	0 	HD081937  	142.88212	+63.06186
O	HD082210  	G4III-IV    	 5343	  33	 3.49	 0.08	-0.21	 0.07	0 	HD082210  	143.62025	+69.83034
 	HD082328  	F6IV        	 6333	  28	 3.97	 0.04	-0.14	 0.04	0 	HD082328  	143.21431	+51.67730
 	HD082395  	K0III       	 4807	  22	 2.61	 0.07	-0.08	 0.05	0 	HD082395  	142.98641	+11.29983
 	HD082590  	F6w...      	 6564	  68	 4.16	 0.07	-0.86	 0.11	0 	HD082590  	143.12621	-17.43575
 	HD082621  	A2V         	 8851	 113	 3.80	 0.11	-0.41	 0.11	0 	HD082621  	143.70597	+52.05148
 	HD082635  	G8III       	 5100	  31	 2.93	 0.08	-0.04	 0.07	0 	HD082635  	143.55576	+36.39756
 	HD082741  	G9.5III     	 4856	  22	 2.51	 0.07	-0.21	 0.05	0 	HD082741  	143.76596	+39.62149
 	HD083506  	K0III       	 4951	  30	 2.45	 0.08	 0.15	 0.07	0 	HD083506  	145.73828	+72.25262
 	HD083618  	K2.5III     	 4270	  18	 1.96	 0.10	-0.12	 0.05	0 	HD083618  	144.96401	-01.14281
 	HD083787  	K6III       	 3818	   7	 1.45	 0.10	-0.21	 0.04	0 	HD083787  	145.39632	+31.27782
 	HD083805  	G8III       	 5047	  27	 2.76	 0.07	 0.02	 0.06	0 	HD083805  	145.50143	+39.75785
 	HD084441  	G1II        	 5392	  25	 2.11	 0.06	-0.08	 0.06	0 	HD084441  	146.46280	+23.77425
 	HD084453  	K0IV        	 4929	  23	 3.19	 0.06	-0.10	 0.05	0 	HD084453  	146.67702	+45.11439
 	HD084737  	G0.5Va      	 5860	  28	 4.02	 0.06	 0.10	 0.04	0 	HD084737  	147.14738	+46.02101
 	HD084748  	M8IIIe      	 3070	  35	 0.78	 0.93	-1.00	 0.00	0 	HD084748  	146.88954	+11.42879
 	HD085235  	A3IV        	 8662	  72	 3.71	 0.08	-0.23	 0.06	0 	HD085235  	148.02648	+54.06433
 	HD085444  	G6/G8III    	 5090	  26	 2.68	 0.07	 0.00	 0.06	0 	HD085444  	147.86956	-14.84660
 	HD085503  	K2III       	 4453	  19	 2.61	 0.08	 0.30	 0.04	0 	HD085503  	148.19091	+26.00695
 	HD086322  	K1III       	 4792	  25	 2.58	 0.08	-0.12	 0.06	0 	HD086322  	150.49716	+74.75909
 	HD086728  	G3Va        	 5745	  28	 4.27	 0.06	 0.23	 0.04	0 	HD086728  	150.25274	+31.92367
O	HD086986  	A1V         	 7863	    	 3.13	     	-1.83	     	2m	HD086986  	150.62319	+14.55700
 	HD087140  	K0          	 5061	  41	 2.46	 0.13	-1.75	 0.09	0 	HD087140  	151.17993	+54.34540
 	HD087141  	F5V         	 6312	  31	 3.90	 0.05	 0.04	 0.04	0 	HD087141  	151.15134	+53.89172
 	HD087344  	B8V         	11061	 232	 4.00	 0.07	 0.00	 0.11	0 	HD087344  	151.01172	-18.10141
 	HD087646  	G1IV        	 5866	  48	 4.27	 0.09	 0.26	 0.07	0 	HD087646  	151.66987	+17.89510
 	HD087737  	A0Ib        	10637	 159	 2.07	 0.05	-0.07	 0.10	0 	HD087737  	151.83313	+16.76266
 	HD087822  	F4V         	 6486	  43	 4.06	 0.06	 0.06	 0.05	0 	HD087822  	152.06620	+31.60405
 	HD087901  	B7V         	12862	 220	 4.05	 0.09	 0.21	 0.09	0 	HD087901  	152.09296	+11.96721
 	HD088195  	A1V         	 9232	 302	 3.07	 0.17	-0.47	 0.25	0 	HD088195  	152.53142	-08.40817
 	HD088284  	K0III       	 4940	  34	 2.94	 0.09	 0.22	 0.07	0 	HD088284  	152.64699	-12.35408
 	HD088355  	F7V         	 6392	  44	 4.09	 0.07	 0.01	 0.05	0 	HD088355  	152.90921	+13.35511
 	HD088609  	G5IIIw      	 4749	  42	 1.63	 0.14	-2.48	 0.08	0 	HD088609  	153.62077	+53.56093
 	HD088737  	F9V         	 6103	  35	 3.88	 0.07	 0.19	 0.05	0 	HD088737  	153.62395	+21.16806
 	HD088983  	A8III       	 7957	  53	 3.87	 0.06	-0.20	 0.06	0 	HD088983  	154.50844	+65.10835
 	HD088986  	G0V         	 5787	  32	 4.06	 0.06	 0.02	 0.05	0 	HD088986  	154.11701	+28.68248
 	HD089010  	G1.5IV-V    	 5717	  36	 3.90	 0.08	 0.02	 0.06	0 	HD089010  	154.13454	+23.50310
 	HD089025  	F0III       	 7153	  37	 3.59	 0.05	 0.19	 0.04	0 	HD089025  	154.17257	+23.41731
 	HD089125  	F8Vbw       	 6159	  33	 4.25	 0.05	-0.37	 0.05	0 	HD089125  	154.31058	+23.10622
 	HD089254  	F2III       	 7122	  78	 3.79	 0.10	 0.36	 0.08	0 	HD089254  	154.40751	-08.06891
 	HD089449  	F6IV        	 6426	  34	 4.10	 0.05	 0.06	 0.04	0 	HD089449  	154.93403	+19.47091
 	HD089484  	K1IIIb      	 4566	  22	 1.98	 0.08	-0.48	 0.05	0 	HD089484  	154.99345	+19.84126
 	HD089490  	K0          	 5148	  31	 3.34	 0.07	 0.06	 0.06	0 	HD089490  	154.88477	-05.10615
 	HD089707  	G1V         	 5959	  37	 4.30	 0.06	-0.46	 0.07	0 	HD089707  	155.20826	-15.47991
 	HD089744  	F7V         	 6155	  32	 3.95	 0.06	 0.15	 0.04	0 	HD089744  	155.54401	+41.22953
O	HD089822  	A0sp...     	10286	 134	 3.96	 0.06	 0.13	 0.08	0 	HD089822  	156.03269	+65.56642
 	HD090250  	K1III       	 4726	  24	 2.61	 0.08	-0.01	 0.05	0 	HD090250  	156.43718	+35.42543
