Miles,Name,Teff,[Fe/H],logg
161,HD 30504,4056,-0.33,1.79
162,HD 30649,5791,-0.48,4.21
163,HD 31128,5949,-1.45,4.18
164,HD 30959,3465,-0.03,0.76
165,HD 30834,4219,-0.24,1.59
166,HD 31295,8822,-0.73,4.11
167,HD 31767,4370,0.01,1.49
168,HD 32147,4602,0.18,4.53
169,HD 32655,7114,0.23,3.47
170,HD 33256,6477,-0.27,4.15
171,HD 33276,7223,0.22,3.8
172,HD 293857,5628,0.1,4.38
173,HD 33608,6461,0.21,4.03
174,HD 34538,4870,-0.36,2.96
175,MS 0515.4-0710,5241,0.12,4.45
176,HD 34411,5842,0.08,4.16
177,HD 35155,3575,-0.34,0.77
178,HD 35179,4926,-0.62,2.28
179,HD 35369,4915,-0.24,2.49
180,HD 35296,6171,0.01,4.31
181,HD 35620,4198,0.15,1.92
182,HD 36003,4345,-0.15,4.59
183,HD 36395,3670,0.0,4.7
184,HD 37160,4810,-0.57,2.74
185,HD 37792,6509,-0.54,4.17
186,HD 37536,3780,0.13,0.52
187,HD 37828,4523,-1.36,1.33
188,HD 37394,5279,0.2,4.6
189,HD 37984,4484,-0.41,2.21
190,HD 38392,4869,0.01,4.66
191,HD 38393,6316,-0.09,4.23
192,HD 38007,5705,-0.31,3.98
193,HD 38545,8673,-0.48,3.68
194,HD 38751,4853,0.18,2.74
195,HD 38656,4943,-0.15,2.55
196,HD 39364,4706,-0.65,2.44
197,HD 39853,3883,-0.41,1.6
198,HD 39833,5869,0.18,4.39
199,HD 39801,3633,0.01,0.4
200,HD 39970,12006,0.19,2.13
201,HD 40657,4300,-0.57,1.83
202,HD 250792,5554,-1.01,4.33
203,HD 41312,4085,-0.6,1.82
204,HD 41117,20000,-0.12,2.4
205,HD 251611,5382,-1.44,3.4
206,HD 41692,14800,-0.01,3.3
207,HD 41636,4711,-0.26,2.48
208,HD 42182,5041,0.13,4.63
209,HD 41597,4632,-0.5,2.01
210,HD 42474,3702,-0.12,0.72
211,HD 42543,3684,0.17,0.52
212,HD 43042,6480,0.06,4.18
213,HD 43318,6330,-0.07,4.04
214,BD+37 1458,5450,-2.12,3.38
215,HD 43380,4563,0.01,2.53
216,HD 44007,4987,-1.53,2.33
217,HD 43378,9284,-0.27,4.05
218,HD 43947,5983,-0.27,4.28
219,HD 44030,4054,-0.36,1.81
220,HD 44889,4022,-0.16,1.44
221,HD 44691,7777,0.27,3.88
222,HD 45282,5309,-1.42,3.19
223,HD 45829,4637,0.08,0.77
224,HD 46341,5835,-0.66,4.28
225,HD 47205,4784,0.21,3.22
226,HD 46703,6250,-1.5,1.0
227,HD 47914,3970,0.1,2.04
228,HD 48329,4625,0.12,0.92
229,HD 48433,4510,-0.16,2.1
230,BD+15 1305,4901,0.11,4.66
231,HD 48565,6030,-0.63,3.94
232,HD 48682,6088,0.11,4.28
233,HD 49161,4191,0.22,1.91
234,HD 49331,3650,0.17,0.45
235,HD 49933,6647,-0.45,4.19
236,HD 50778,4035,-0.29,1.86
237,HD 50420,7319,0.11,3.75
238,HD 51440,4317,-0.56,1.68
239,HD 52005,4116,0.13,0.78
240,HD 52973,5657,0.09,1.12
241,HD 53927,4911,-0.28,4.71
242,HD 54605,7035,0.24,0.69
243,BD+37 1665,5128,-0.65,3.5
244,HD 54810,4757,-0.3,2.61
245,HD 54719,4437,0.17,2.17
246,HD 55496,4858,-1.48,2.05
247,HD 55693,5773,0.25,4.16
248,HD 55575,5811,-0.38,4.19
249,HD 56274,5769,-0.53,4.4
250,HD 56577,3944,0.14,0.72
251,HD 57060,33215,-0.03,3.28
252,HD 57061,34303,0.1,3.46
253,HD 57264,4642,-0.34,2.49
254,HD 58207,4825,-0.11,2.57
255,HD 58551,6306,-0.42,4.27
256,HD 59612,8409,-0.05,1.56
257,HD 59374,5873,-0.82,4.21
258,BD+24 1676,6230,-2.55,3.81
259,HD 59984,5973,-0.68,4.07
260,HD 59881,7623,0.15,3.64
261,HD 60219,6743,0.21,2.77
262,HD 60179,9550,-0.13,3.83
263,LHS 1930,5420,-1.11,4.33
264,HD 60522,3846,0.04,1.69
265,HD 61064,6646,0.27,3.69
266,BD-01 1792,5131,-0.81,3.38
267,HD 61606,4890,0.05,4.67
268,HD 61772,4118,0.05,1.41
269,HD 61603,3983,0.22,1.41
270,HD 61935,4838,-0.03,2.61
271,HD 61913,3478,0.09,0.71
272,BD+00 2058A,6096,-1.22,4.17
273,HD 62345,5029,-0.01,2.61
274,HD 62301,5933,-0.62,4.12
275,HD 62721,3939,-0.25,1.94
276,HD 63302,4310,0.07,0.47
277,HD 63352,4175,-0.44,1.82
278,BD-18 2065,4915,-0.68,2.36
279,HD 64332,3399,-0.04,0.61
280,HD 64090,5405,-1.65,4.19
281,HD 63791,4866,-1.55,2.03
282,HD 64606,5302,-0.76,4.42
283,HD 64488,8837,-0.36,3.65
284,HD 65228,5861,0.06,1.24
285,HD 65583,5281,-0.65,4.33
286,HD 65714,4983,0.18,2.5
287,HD 65953,4014,-0.21,1.81
288,HD 65900,9235,-0.16,3.69
289,HD 66141,4312,-0.36,2.11
290,HD 66573,5680,-0.58,4.26
291,HD 67523,6810,0.6,3.59
292,HD 67228,5732,0.12,3.84
293,BD+80 0245,5509,-1.85,3.74
294,HD 68284,5945,-0.52,3.97
295,HD 69267,4087,-0.07,1.45
296,HD 69611,5773,-0.58,4.09
297,HD 69830,5412,0.04,4.49
298,HD 233511,6005,-1.52,4.13
299,HD 69897,6328,-0.23,4.18
300,HD 70272,3946,0.03,1.5
301,HD 71030,6541,-0.15,4.03
302,HD 72184,4654,0.2,2.98
303,HD 72324,4881,0.0,2.43
304,HD 72660,9290,-0.2,3.39
305,HD 73471,4551,0.13,2.21
306,HD 72905,5919,0.01,4.47
307,HD 73898,4912,-0.56,2.3
308,HD 73665,5024,0.21,2.7
309,HD 73394,4552,-1.53,1.29
310,HD 74000,6178,-1.85,4.03
311,HD 73593,4842,-0.16,2.88
312,HD 74011,5795,-0.56,4.08
313,HD 74395,5546,0.09,1.41
314,BD+25 1981,6668,-1.2,4.28
315,HD 74442,4722,0.0,2.57
316,HD 74377,4674,-0.37,4.47
317,HD 74721,8900,-1.32,3.38
