Miles,Name,Teff,[Fe/H],logg
702,HD 174704,7193,0.79,3.63
703,HD 175535,5197,-0.07,2.85
704,HD 175588,3382,-0.06,0.55
705,HD 175865,3181,-0.29,0.47
706,HD 175640,12077,0.17,3.94
707,HD 178089,6722,-0.09,4.07
708,HD 175892,8705,-0.29,4.11
709,HD 176301,12667,0.18,4.18
710,HD 176232,8743,0.53,4.47
711,HD 176437,11226,0.09,4.11
712,HD 177463,4660,-0.19,2.35
713,HD 180711,4837,-0.18,2.49
714,HD 179761,12746,0.3,4.22
715,HD 180163,18663,0.04,3.69
716,HD 181096,6347,-0.17,4.03
717,HD 180928,4069,-0.53,1.94
718,HD 181470,9802,-0.13,3.91
719,HD 182293,4457,0.04,2.85
720,HD 187216,3950,-1.7,0.75
721,HD 182572,5473,0.34,3.91
722,HD 183324,10325,-1.24,4.17
723,CD-24 15398,6269,-1.17,2.93
724,HD 185144,5293,-0.12,4.56
725,HD 338529,6178,-2.09,3.95
726,HD 184499,5743,-0.54,4.07
727,HD 184786,3306,0.01,0.6
728,HD 184406,4451,0.09,2.83
729,HD 185351,5045,0.08,3.27
730,HD 185657,4868,-0.16,2.61
731,HD 232078,4014,-1.22,0.81
732,HD 185859,26200,-0.09,3.05
733,HD 186408,5731,0.08,4.15
734,HD 186427,5648,0.03,4.18
735,HD 188119,4904,-0.49,2.34
736,HD 187111,4455,-1.67,1.05
737,HD 187879,21004,0.05,3.14
738,HD 187691,6099,0.14,4.12
739,HD 187921,5502,0.1,0.68
740,HD 188041,9506,1.0,3.91
741,HD 188650,5184,-0.81,2.01
742,HD 188510,5539,-1.43,4.28
743,HD 188512,5082,-0.22,3.48
744,HD 188727,6240,0.13,1.0
745,HD 188947,4828,0.06,2.62
746,HD 189005,5080,-0.26,2.32
747,HD 189558,5770,-1.04,3.92
748,HD 189849,7804,-0.01,3.89
749,HD 190360,5468,0.21,4.11
750,HD 190404,5008,-0.58,4.51
751,HD 190603,19500,0.07,2.36
752,HD 190178,6263,-0.66,4.05
753,HD 190390,6440,-1.05,1.55
754,HD 191026,5177,0.08,3.81
755,HD 191046,4452,-0.68,1.65
756,HD 192907,10444,-0.18,3.97
757,HD 345957,5988,-1.2,4.06
758,HD 192577,4186,0.03,1.23
759,HD 192640,8774,-0.8,4.42
760,HD 192909,3978,0.06,1.03
761,HD 193281,8597,-0.37,4.11
762,HD 194598,6090,-1.04,4.24
763,HD 194943,6971,-0.01,4.04
764,HD 196502,9417,0.74,3.58
765,HD 195633,6119,-0.52,4.09
766,HD 195838,6152,0.0,4.08
767,HD 196544,8678,-0.12,3.8
768,HD 196755,5582,-0.02,3.64
769,HD 197177,4964,-0.03,1.92
770,HD 197572,5188,0.15,0.83
771,HD 197461,7334,-0.07,4.02
772,HD 198149,4970,-0.19,3.29
773,HD 197989,4748,-0.17,2.52
774,HD 197964,4762,0.15,2.93
775,HD 198183,15630,0.05,3.81
776,HD 198001,9266,-0.32,4.0
777,BD+04 4551,6089,-1.26,4.21
778,HD 198478,16500,-0.21,2.17
779,HD 199191,4779,-0.63,2.66
781,HD 199799,3251,-0.11,0.41
782,HD 200527,3386,0.01,0.67
783,HD 200580,6003,-0.5,4.34
784,HD 200905,4031,0.15,0.89
785,HD 200779,4214,-0.01,4.61
786,HD 200790,6115,0.02,3.98
787,HD 201078,6151,0.09,1.85
788,HD 201091,4242,-0.38,4.7
789,HD 201601,8790,0.78,4.49
790,HD 201891,5881,-1.05,4.18
791,HD 201889,5762,-0.74,4.13
792,HD 202109,4925,-0.23,2.39
793,HD 202447,6277,0.26,4.01
794,HD 202671,14353,0.36,3.25
795,HD 203638,4613,0.17,2.61
796,HD 204041,8737,-0.44,4.45
797,HD 204075,5397,-0.14,1.48
798,HD 204155,5718,-0.69,3.93
799,HD 204613,5718,-0.38,3.88
800,HD 205021,25500,-0.1,3.7
801,HD 204381,5081,-0.09,2.76
802,HD 204754,12610,0.3,4.2
803,HD 204543,4617,-1.76,1.31
804,HD 204587,4065,-0.21,4.6
805,HD 205435,5069,-0.12,2.86
806,HD 205153,6005,0.07,4.02
807,HD 205512,4732,0.03,2.6
808,HD 206078,4809,-0.53,2.63
809,HD 206165,19300,-0.27,2.65
810,HD 206952,4701,0.21,2.7
811,HD 206453,5026,-0.41,2.34
812,HD 207130,4783,0.12,2.69
813,HD 206826,6490,-0.11,4.09
814,HD 206778,4238,0.11,0.84
815,HD 207260,9911,0.27,1.57
817,HD 207330,20815,0.04,3.69
818,HD 207222,9230,-0.36,4.01
819,HD 207673,10482,0.16,1.87
820,HD 208501,16477,0.05,2.8
821,HD 208906,6048,-0.68,4.27
822,HD 209369,6632,-0.04,4.06
823,HD 209459,11015,-0.07,3.99
824,HD 209975,32983,0.06,3.4
825,HD 210295,4898,-1.23,2.29
826,HD 210424,12771,0.22,4.21
827,HD 210745,4340,0.12,0.88
828,HD 210595,6639,-0.47,4.11
829,HD 210705,6939,-0.18,4.16
830,HD 211075,4364,-0.31,1.96
831,HD 212454,14466,0.35,3.33
832,HD 212943,4676,-0.24,2.75
833,HD 213119,3936,-0.07,1.51
834,HD 213307,7800,0.2,2.0
835,HD 213042,4514,0.16,4.51
836,HD 213470,8943,0.11,1.36
837,HD 214080,23445,0.04,3.28
839,HD 214567,4997,-0.23,2.62
840,HD 214714,5224,-0.67,2.03
841,HD 214994,9373,-0.14,3.73
842,BD+39 4926,7261,-2.52,0.85
843,HD 215648,6243,-0.21,4.03
844,HD 216228,4780,0.01,2.54
845,HD 216174,4385,-0.5,1.87
846,HD 216131,4999,-0.07,2.7
847,HD 216143,4693,-1.96,1.48
848,HD 216219,5637,-0.36,3.1
849,HD 216385,6323,-0.15,4.06
850,HD 217382,4126,0.11,2.06
851,HD 216640,4650,0.2,3.19
852,HD 216831,13207,0.05,3.05
853,HD 216916,21500,-0.12,3.75
854,HD 217014,5674,0.18,4.14
855,HD 217107,5523,0.33,4.11
856,HD 217754,7089,0.27,3.8
857,HD 218031,4743,-0.16,2.46
858,HD 218235,6463,0.23,4.06
859,HD 218329,3796,0.17,1.63
860,HD 218502,6167,-1.75,4.11
861,HD 218640,5799,0.36,3.26
862,HD 218804,6493,-0.13,4.17
863,HD 218857,5057,-1.93,2.43
864,HD 219134,4715,0.06,4.57
865,HD 219116,4790,-0.79,1.79
866,BD+38 4955,5270,-2.23,3.5
867,HD 219449,4696,0.03,2.59
868,HD 219623,6138,0.07,4.24
869,HD 219617,5941,-1.36,4.12
870,HD 219615,4890,-0.57,2.42
871,HD 219734,3616,0.04,1.0
872,HD 219916,5070,-0.04,2.84
873,HD 219978,3951,0.22,0.57
874,HD 220009,4314,-0.71,1.81
875,HD 220575,12241,0.27,4.09
876,BD+59 2723,5987,-1.89,3.98
877,HD 220825,10228,0.78,3.71
878,HD 220933,10515,-0.06,3.72
879,HD 220954,4731,0.07,2.61
880,HD 221170,4557,-2.05,1.15
881,HD 221148,4653,0.36,3.32
882,HD 221345,4685,-0.29,2.41
883,HD 221377,6553,-0.6,4.2
884,BD+19 5116B,3200,0.09,5.06
885,HD 221756,8833,-0.64,4.21
886,HD 221830,5719,-0.4,4.09
887,HD 222404,4782,0.11,3.25
888,HD 222368,6231,-0.08,4.14
889,HD 222451,6698,0.1,4.07
891,HD 223047,5002,0.04,1.26
892,HD 223385,10023,0.29,1.59
893,HD 223524,4611,0.08,2.59
894,HD 223640,12429,0.73,3.93
895,HD 224458,4819,-0.44,2.29
896,BD+61 2575,6973,0.15,0.86
897,NGC 288 77,4320,-1.07,1.23
898,HD 020902,6690,-0.05,1.31
899,Mel 22 0296,5196,-0.03,4.25
900,Mel 22 2462,5219,-0.03,4.47
901,HD 025825,6005,0.13,4.38
902,HD 026736,5772,0.13,4.39
903,HD 284253,5283,0.13,4.47
904,HD 027383,6091,0.13,4.34
905,HD 027524,6580,0.13,4.14
906,HD 027561,6682,0.13,4.14
907,HD 027962,8809,0.13,3.8
908,HD 028483,6455,0.13,4.25
909,HD 028546,7490,0.13,3.85
910,HD 029375,7240,0.13,3.93
911,HD 030034,7446,0.13,3.91
912,HD 030210,7694,0.13,3.66
913,HD 030676,6104,0.13,4.37
914,HD 031236,7262,0.13,3.93
915,NGC 1904 153,4394,-1.37,1.07
916,NGC 1904 160,4379,-1.37,1.02
917,NGC 1904 223,4253,-1.37,0.86
918,NGC 2420 140,4362,-0.44,1.68
919,NGC 2682 108,4186,-0.09,2.16
920,HD 107276,7969,-0.05,3.99
921,HD 107513,7360,-0.05,3.99
922,HD 109307,8162,-0.05,3.91
923,Cl* NGC 5272 S I-IV-25,4525,-1.34,1.28
924,Cl* NGC 5272 S I-III-28,4374,-1.34,0.99
925,NGC 5272 398,4648,-1.34,1.43
926,Cl* NGC 5904 ARP III-03,4266,-1.11,0.94
927,Cl* NGC 5904 ARP II-51,6115,-1.11,3.84
928,Cl* NGC 5904 ARP II-76,5974,-1.11,2.44
929,Cl* NGC 5904 ARP II-53,9441,-1.11,2.43
930,Cl* NGC 5904 ARP IV-19,4278,-1.11,1.07
931,Cl* NGC 5904 ARP IV-86,5576,-1.11,2.44
932,Cl* NGC 5904 ARP IV-87,5965,-1.11,3.8
933,Cl* NGC 6121 LEE 2303,6748,-1.19,2.51
934,Cl* NGC 6205 SAV A171,4250,-1.39,1.0
935,Cl* NGC 6205 SAV B786,4170,-1.39,0.72
936,NGC 6341 4114,4844,-2.16,1.77
937,NGC 6341 3013,4261,-2.16,0.7
938,HD 170764,5802,0.17,0.99
939,HD 170820,4707,0.17,1.65
940,Cl* NGC 6791 GVZH R4,3228,0.4,0.17
941,Cl* NGC 6791 GVZH R5,3160,0.4,1.0
942,Cl* NGC 6791 GVZH R16,3925,0.4,2.01
943,Cl* NGC 6791 GVZH R19,3961,0.4,2.06
944,Cl* NGC 6838 AH A9,4382,-0.84,1.43
945,NGC 6838 1109,4714,-0.84,2.31
946,NGC 6838 1095,4509,-0.84,1.53
947,NGC 6838 1107,4848,-0.84,2.07
948,NGC 6838 1075,4777,-0.84,2.53
949,NGC 6838 1073,4788,-0.84,2.35
950,Cl* NGC 6838 KC 147,4819,-0.84,2.57
951,NGC 6838 1071,4355,-0.84,1.66
952,Cl* NGC 6838 KC 263,4157,-0.84,1.4
953,NGC 6838 1087,4988,-0.84,2.19
954,NGC 6838 1066,4193,-0.84,1.44
955,NGC 6838 1065,4622,-0.84,2.02
956,NGC 6838 1064,4476,-0.84,1.7
957,NGC 6838 1063,4648,-0.84,1.72
958,NGC 6838 1021,4446,-0.84,1.42
959,NGC 6838 1037,4529,-0.84,2.01
960,NGC 6838 1041,5020,-0.84,2.26
961,NGC 6838 1009,4766,-0.84,2.14
962,NGC 6838 1039,5020,-0.84,2.26
963,NGC 6838 1034,5114,-0.84,2.35
964,NGC 6838 1053,4659,-0.84,1.74
965,Cl* NGC 6838 KC 169,5083,-0.84,2.22
966,Cl* NGC 6838 AH A2,4679,-0.84,2.21
967,NGC 6838 1077,4090,-0.84,1.82
968,NGC 6838 1078,3981,-0.84,1.69
969,Cl* NGC 6838 AH S,4214,-0.84,1.19
970,Cl* NGC 6838 AH X,3980,-0.84,1.43
971,Cl* NGC 6838 AH I,4190,-0.84,1.3
972,NGC 7789 329,5043,-0.13,2.3
973,NGC 7789 468,4128,-0.13,1.6
974,NGC 7789 342,10968,-0.13,3.85
975,NGC 7789 353,4482,-0.13,2.16
976,NGC 7789 415,3809,-0.13,1.21
977,NGC 7789 461,4085,-0.13,1.68
978,NGC 7789 501,4040,-0.13,1.61
979,NGC 7789 575,4515,-0.13,2.05
980,NGC 7789 637,4812,-0.13,2.37
981,NGC 7789 765,4333,-0.13,1.91
982,NGC 7789 859,4579,-0.13,2.26
983,NGC 7789 875,4861,-0.13,2.56
984,NGC 7789 897,4918,-0.13,2.5
985,NGC 7789 971,3737,-0.13,1.2
