star,T_eff,log_g,metallicity
HD006582.fits,5397.0,4.53,-0.79
HD065900.fits,9228.0,3.34,-0.17
HD067228.fits,5810.0,3.92,0.14
HD006763.fits,6972.0,4.10,-0.11
HD006805.fits,4576.0,2.62,0.10
HD006834.fits,6416.0,4.23,-0.61
HD006840.fits,6004.0,4.01,-0.33
HD006920.fits,5944.0,3.71,-0.04
HD000693.fits,6221.0,4.14,-0.34
HD069897.fits,6261.0,4.19,-0.28
HD070110.fits,5909.0,3.95,0.09
HD007087.fits,4918.0,2.34,-0.10
HD071369.fits,5215.0,2.52,-0.13
HD071597.fits,4449.0,2.54,-0.23
HD072660.fits,9226.0,3.30,-0.14
HD072968.fits,10651.0,3.63,0.77
HD074280.fits,17816.0,3.73,0.01
HD074395.fits,5481.0,1.44,0.04
HD007439.fits,6422.0,4.15,-0.29
HD075333.fits,11722.0,4.08,0.22
HD075732.fits,5290.0,4.43,0.43
HD076151.fits,5793.0,4.47,0.13
HD076291.fits,4583.0,2.77,-0.10
HD076294.fits,4917.0,2.46,-0.11
HD076813.fits,5074.0,2.71,-0.09
HD076932.fits,5843.0,4.08,-0.90
HD076943.fits,6511.0,4.19,0.14
HD077350.fits,10037.0,3.35,-0.20
HD077601.fits,6578.0,3.14,0.42
HD077818.fits,4726.0,3.13,-0.23
HD077912.fits,5015.0,1.75,-0.05
HD078209.fits,7508.0,3.77,0.54
HD078249.fits,4868.0,3.45,0.05
HD078316.fits,12460.0,4.21,0.51
HD078362.fits,7289.0,3.76,0.71
HD078418.fits,5741.0,4.22,0.08
HD078479.fits,4486.0,2.60,0.22
HD078558.fits,5700.0,4.20,-0.45
HD078712.fits,3101.0,0.23,-1.00
HD079028.fits,5972.0,3.93,0.05
HD079158.fits,12305.0,4.11,0.73
HD079452.fits,5029.0,2.43,-0.77
HD079469.fits,10099.0,3.80,-0.42
HD080493.fits,3899.0,1.63,-0.11
HD080499.fits,5065.0,2.48,-0.13
HD080586.fits,5084.0,2.87,0.01
HD081146.fits,4394.0,2.44,-0.05
HD081192.fits,4822.0,2.69,-0.70
HD081797.fits,4176.0,1.67,0.06
HD081937.fits,7097.0,3.87,0.17
HD008207.fits,4757.0,2.66,0.13
HD082210.fits,5343.0,3.49,-0.21
HD082328.fits,6333.0,3.97,-0.14
HD082395.fits,4807.0,2.61,-0.08
HD082741.fits,4856.0,2.51,-0.21
HD083506.fits,4951.0,2.45,0.15
HD083618.fits,4270.0,1.96,-0.12
HD083805.fits,5047.0,2.76,0.02
HD084441.fits,5392.0,2.11,-0.08
HD084453.fits,4929.0,3.19,-0.10
HD084737.fits,5860.0,4.02,0.10
HD084748.fits,3070.0,0.78,-1.00
HD008491.fits,4802.0,2.70,0.05
HD008512.fits,4729.0,2.58,-0.12
HD085235.fits,8662.0,3.71,-0.23
HD085444.fits,5090.0,2.68,0.00
HD085503.fits,4453.0,2.61,0.30
HD086322.fits,4792.0,2.58,-0.12
HD086728.fits,5745.0,4.27,0.23
HD086986.fits,7863.0,3.13,-1.83
HD008705.fits,4333.0,2.36,-0.23
HD087141.fits,6312.0,3.90,0.04
HD087646.fits,5866.0,4.27,0.26
HD087737.fits,10637.0,2.07,-0.07
HD087822.fits,6486.0,4.06,0.06
HD087901.fits,12862.0,4.05,0.21
HD088284.fits,4940.0,2.94,0.22
HD088355.fits,6392.0,4.09,0.01
HD088609.fits,4749.0,1.63,-2.48
HD000886.fits,21397.0,3.84,-0.06
HD088737.fits,6103.0,3.88,0.19
HD088983.fits,7957.0,3.87,-0.20
HD088986.fits,5787.0,4.06,0.02
HD089010.fits,5717.0,3.90,0.02
HD089025.fits,7153.0,3.59,0.19
HD089125.fits,6159.0,4.25,-0.37
HD089254.fits,7122.0,3.79,0.36
HD089449.fits,6426.0,4.10,0.06
HD089484.fits,4566.0,1.98,-0.48
HD008949.fits,4700.0,2.67,0.13
HD089707.fits,5959.0,4.30,-0.46
HD089744.fits,6155.0,3.95,0.15
HD089822.fits,10286.0,3.96,0.13
HD090250.fits,4726.0,2.61,-0.01
HD090277.fits,7292.0,3.82,0.19
HD090508.fits,5790.0,4.33,-0.33
HD009057.fits,4967.0,2.74,0.06
HD091190.fits,5039.0,2.78,0.00
HD091752.fits,6524.0,4.11,-0.15
HD091889.fits,6111.0,4.15,-0.24
HD092125.fits,5433.0,1.88,0.01
HD092588.fits,5116.0,3.67,-0.03
HD009270.fits,5006.0,2.26,-0.06
HD092769.fits,7902.0,3.98,-0.20
HD093487.fits,5120.0,2.31,-1.20
HD093813.fits,4371.0,2.13,-0.18
HD009408.fits,4844.0,2.51,-0.30
HD094247.fits,4233.0,1.86,-0.19
HD094264.fits,4731.0,2.82,-0.12
HD094363.fits,5036.0,3.11,-0.21
HD094600.fits,4634.0,2.52,-0.16
HD094601.fits,9429.0,3.87,-0.30
HD094669.fits,4562.0,2.64,-0.13
HD095128.fits,5855.0,4.24,0.00
HD095241.fits,5899.0,3.83,-0.28
HD095272.fits,4712.0,2.51,-0.06
HD095345.fits,4559.0,2.17,-0.15
HD009562.fits,5819.0,3.91,0.17
HD095849.fits,4501.0,2.40,0.17
HD096436.fits,4792.0,2.85,-0.46
HD096833.fits,4621.0,2.33,-0.02
HD097603.fits,8141.0,3.84,-0.18
HD097907.fits,4368.0,2.21,-0.05
HD009826.fits,6151.0,4.10,0.08
HD098430.fits,4610.0,2.09,-0.44
HD009856.fits,4426.0,2.08,-0.11
HD098824.fits,4776.0,2.61,0.01
HD098991.fits,6600.0,3.93,-0.02
HD009927.fits,4371.0,2.29,0.12
HD099747.fits,6667.0,4.19,-0.48
BD+01_2916.fits,4312.0,0.66,-1.91
BD+04_4551.fits,5986.0,4.16,-1.28
BD+11_2998.fits,5334.0,2.61,-1.21
BD+18_2976.fits,4753.0,1.58,-2.17
BD+25_2479.fits,5458.0,4.33,0.40
BD+25_2497.fits,4941.0,2.49,-0.65
BD+27_2096.fits,5572.0,3.89,0.41
BD+27_2126.fits,4721.0,2.57,-0.06
BD+28_2079.fits,4812.0,2.36,-0.50
BD+29_2294.fits,4983.0,2.47,-0.70
BD+30_2931.fits,4427.0,2.27,-0.21
BD+31_2356.fits,5843.0,3.96,0.24
BD+36_2303.fits,4649.0,1.75,-0.92
BD+37_2319.fits,5707.0,4.05,0.31
BD+39_2554.fits,5595.0,3.88,0.25
BD+45_1668.fits,8693.0,4.72,-0.48
G_101-29.fits,5374.0,3.26,-2.01
G_103-55.fits,5567.0,4.34,-0.36
G_103-68.fits,3477.0,4.76,-1.08
G_107-27.fits,4197.0,4.67,-0.17
G_108-29.fits,5752.0,4.31,-0.39
G_108-43.fits,5805.0,4.23,-0.59
G_112-54.fits,5317.0,4.53,-0.78
G_11-45.fits,5668.0,4.34,0.15
G_12-24.fits,5648.0,4.29,-0.15
G_122-66.fits,4955.0,3.37,-0.53
G_123-29.fits,5745.0,4.28,-0.83
G_125-4.fits,5196.0,3.82,-0.26
G_126-62.fits,6055.0,4.09,-1.44
G_140-5.fits,6035.0,3.94,-2.09
G_144-6.fits,5974.0,4.19,-1.11
G_149-25.fits,5601.0,4.53,-0.33
G_15-20.fits,4884.0,4.56,0.25
G_165-11.fits,5800.0,4.12,-0.57
G_165-39.fits,6160.0,3.98,-2.03
G_166-45.fits,6060.0,3.93,-2.16
G_170-47.fits,5070.0,2.35,-2.48
G_175-33.fits,5731.0,4.15,0.30
G_182-19.fits,5795.0,4.25,-0.54
G_193-33.fits,5814.0,4.12,-0.52
G_197-56.fits,5620.0,4.42,-0.71
G_200-36.fits,5511.0,4.43,0.18
G_205-5.fits,4973.0,4.56,-0.20
G_207-5.fits,5904.0,4.32,-0.50
G_227-46.fits,3481.0,4.78,-1.01
G_22-7.fits,5534.0,4.30,0.31
G_237-84.fits,5572.0,4.52,-0.45
G_241-18.fits,5631.0,4.39,-0.51
G_244-59.fits,5538.0,4.44,-0.50
G_249-49.fits,5875.0,4.11,-0.83
G_250-22.fits,4257.0,4.68,-0.16
G_25-15.fits,5887.0,4.32,-0.58
G_25-29.fits,5802.0,4.12,-0.65
G_257-32.fits,3600.0,4.59,-0.84
G_270-23.fits,6161.0,4.12,-1.09
G_36-33.fits,5344.0,4.64,0.14
G_40-34.fits,6570.0,4.24,-1.39
G_4-44.fits,5846.0,4.23,-0.66
G_44-6.fits,5675.0,4.34,-0.64
G_48-29.fits,6227.0,3.92,-2.25
G_5-40.fits,5893.0,4.19,-0.81
G_58-25.fits,5930.0,4.13,-1.39
G_58-30.fits,5902.0,4.30,0.13
G_60-6.fits,5046.0,4.60,0.10
G_63-9.fits,5897.0,4.19,-0.71
G_65-16.fits,5694.0,4.30,-0.42
G_74-5.fits,5699.0,4.33,-0.95
G_7-6.fits,5746.0,4.12,0.17
G_78-14.fits,5286.0,4.57,-0.40
G_80-15.fits,5798.0,4.18,-0.89
G_81-38.fits,5786.0,4.25,-0.51
G_82-12.fits,5660.0,4.13,-0.26
G_84-29.fits,6189.0,3.88,-2.25
G_84-37.fits,5895.0,4.19,-1.06
G_88-40.fits,5932.0,4.14,-0.84
G_89-11.fits,5131.0,4.47,0.16
G_96-20.fits,6284.0,4.26,-0.90
